fast,slow,total_return,sharpe_ratio,max_drawdown,cagr_estimate,win_rate_approx,engine
8,40,0.4927535222590198,0.7123140626314893,-0.15019865525879394,0.22364096312180015,,pandas
8,60,0.3727827761371154,0.5646758180016503,-0.18470755947639383,0.1730670839515167,,pandas
8,80,0.5802418083671512,0.793164259533625,-0.1381640569680842,0.2592604189330352,,pandas
8,100,0.6461644277836154,0.8521012173414056,-0.10524066669309495,0.2854574678730084,,pandas
14,40,0.4071443378231805,0.6129070213114873,-0.17910146502812307,0.1877690035208992,,pandas
14,60,0.5598725956508488,0.7722106559800568,-0.14877817990422704,0.2510566369040321,,pandas
14,80,0.6368950461696217,0.8424131706872643,-0.10755542446888067,0.28180576450501227,,pandas
14,100,0.6057523194286563,0.7988055460787826,-0.11897922242253067,0.26946122185681864,,pandas
20,40,0.47946659044237205,0.6922373454248814,-0.16179299570098404,0.21814169215898982,,pandas
20,60,0.6002085088274882,0.810610231749434,-0.12776202160182903,0.2672513150008107,,pandas
20,80,0.5973204793127966,0.7892618583814591,-0.12242647240734361,0.26609856636365703,,pandas
20,100,0.6969727016544183,0.8856269087053924,-0.11801775129556158,0.30529480196153536,,pandas
26,40,0.6169427476802594,0.8385416795719477,-0.13553967806758804,0.27391051329459626,,pandas
26,60,0.4828381684218732,0.6732703160669292,-0.13397901781615484,0.21953945254683327,,pandas
26,80,0.7604509641452917,0.9432583316224198,-0.11623406984483076,0.3296693050108086,,pandas
26,100,0.633067203431867,0.7862654762282081,-0.19095426915022873,0.2802947804444371,,pandas
